# l TT EE TE
2.090000000000000000e+02 5.693202772411673322e+03 7.179105978565425428e-01 -3.257568124481998950e+00
2.100000000000000000e+02 5.699819317416775448e+03 7.264533984421021051e-01 -1.811837891501897335e+00
2.110000000000000000e+02 5.705814375146301245e+03 7.361905028699867737e-01 -3.489150277978876891e-01
2.120000000000000000e+02 5.711202810008973756e+03 7.471565315237541638e-01 1.130636232414432341e+00
2.130000000000000000e+02 5.715984629590244367e+03 7.593890660128171932e-01 2.626260697564052560e+00
2.140000000000000000e+02 5.720167269807372577e+03 7.729249350520270845e-01 4.137397365687827566e+00
2.150000000000000000e+02 5.723750738315759008e+03 7.877935290118014411e-01 5.663457142994238858e+00
2.160000000000000000e+02 5.726720186266661585e+03 8.040398278792458830e-01 7.203843646801435519e+00
2.170000000000000000e+02 5.729075621815947670e+03 8.216932022725994544e-01 8.757938352328908493e+00
2.180000000000000000e+02 5.730817053529711302e+03 8.407830130733082719e-01 1.032523430642089579e+01
2.190000000000000000e+02 5.731937062137164503e+03 8.613534682325736380e-01 1.190504642522425982e+01
2.200000000000000000e+02 5.732428228979681080e+03 8.834339094876612064e-01 1.349685320154826940e+01
2.210000000000000000e+02 5.732297992804419664e+03 9.070536691898659631e-01 1.509991043380268216e+01
2.220000000000000000e+02 5.731531508099260463e+03 9.322569271431814242e-01 1.671377121356136186e+01
2.230000000000000000e+02 5.730136215272307709e+03 9.590655690020439827e-01 1.833761737697330929e+01
2.240000000000000000e+02 5.728119555669829424e+03 9.875163281814732796e-01 1.997092805909889890e+01
2.250000000000000000e+02 5.725481543284278814e+03 1.017631072626713040e+00 2.161288542857668205e+01
2.260000000000000000e+02 5.722214764801164165e+03 1.049453946744864252e+00 2.326296895819659838e+01
2.270000000000000000e+02 5.718326664684383104e+03 1.083014229845141951e+00 2.492043544279581013e+01
2.280000000000000000e+02 5.713817260146954141e+03 1.118333764691252785e+00 2.658461613553608416e+01
2.290000000000000000e+02 5.708693997859236333e+03 1.155449242765030249e+00 2.825484246651740250e+01
2.300000000000000000e+02 5.702949468891564720e+03 1.194389919439123871e+00 2.993044604473762860e+01
2.310000000000000000e+02 5.696591122093869672e+03 1.235170185860855030e+00 3.161068437638886763e+01
2.320000000000000000e+02 5.689626407358721735e+03 1.277826710948326339e+00 3.329488943349628727e+01
2.330000000000000000e+02 5.682047918869118803e+03 1.322388728244878742e+00 3.498231908837870918e+01
2.340000000000000000e+02 5.673855680082229810e+03 1.368878036184747904e+00 3.667223139844531943e+01
2.350000000000000000e+02 5.665064571997440908e+03 1.417323855070444782e+00 3.836403317432124993e+01
2.360000000000000000e+02 5.655659762957653584e+03 1.467755399009190054e+00 4.005690856328038052e+01
2.370000000000000000e+02 5.645663563689739931e+03 1.520179591159348087e+00 4.175011618402383107e+01
2.380000000000000000e+02 5.635068572026350012e+03 1.574625634139961372e+00 4.344298912727136042e+01
2.390000000000000000e+02 5.623882242867965033e+03 1.631107868597731381e+00 4.513478638917048613e+01
2.400000000000000000e+02 5.612104602979919036e+03 1.689662915283257183e+00 4.682461858803108612e+01
2.410000000000000000e+02 5.599735679178517785e+03 1.750305105292417007e+00 4.851196794890442732e+01
2.420000000000000000e+02 5.586790354856427257e+03 1.813048765461693801e+00 5.019594546844530214e+01
2.430000000000000000e+02 5.573268656396689948e+03 1.877915647076891847e+00 5.187581089914437626e+01
2.440000000000000000e+02 5.559170609679490553e+03 1.944920069540047702e+00 5.355097274887348391e+01
2.450000000000000000e+02 5.544511096581431048e+03 2.014083777446912027e+00 5.522061686275142023e+01
2.460000000000000000e+02 5.529297569717369697e+03 2.085406227571670712e+00 5.688407783987134536e+01
2.470000000000000000e+02 5.513522623877936894e+03 2.158916587714443835e+00 5.854061618184850602e+01
2.480000000000000000e+02 5.497208565915409054e+03 2.234629167003742811e+00 6.018941829171950531e+01
2.490000000000000000e+02 5.480347987724149789e+03 2.312543416309597255e+00 6.182989360670037371e+01
2.500000000000000000e+02 5.462955764474344505e+03 2.392688498766605498e+00 6.346122889577257098e+01
2.510000000000000000e+02 5.445024502030270014e+03 2.475048990953544248e+00 6.508253704170682852e+01
2.520000000000000000e+02 5.426561731697382129e+03 2.559646547941080374e+00 6.669315482307457899e+01
2.530000000000000000e+02 5.407567571750870229e+03 2.646480524178738136e+00 6.829227084524521274e+01
2.540000000000000000e+02 5.388056994544709596e+03 2.735565131447134313e+00 6.987899960539121480e+01
2.550000000000000000e+02 5.368015256212107488e+03 2.826892297567469736e+00 7.145267862443847662e+01
2.560000000000000000e+02 5.347457323277692012e+03 2.920476236970865003e+00 7.301249702737706571e+01
